seed,n_bits,k,train_data,auth_CRPs,searches,threshold,server_predictor,attacker_predictor,viable_CRPs,server_accuracy,attacker_accuracy
1,64,4,1000000,200,100,0.95,MLP,MLP,5600,0.0,0.48
1,64,4,1000000,200,100,0.95,MLP,MLP,5800,0.0,0.695
1,64,4,1000000,200,100,0.95,MLP,MLP,6000,0.0,0.025
1,64,4,1000000,200,100,0.95,MLP,MLP,6200,0.0,0.525
1,64,4,1000000,200,100,0.95,MLP,MLP,6400,0.0,0.285
1,64,4,1000000,200,100,0.95,MLP,MLP,6600,0.0,0.8
1,64,4,1000000,200,100,0.95,MLP,MLP,6800,0.0,0.375
1,64,4,1000000,200,100,0.95,MLP,MLP,7000,0.0,0.495
1,64,4,1000000,200,100,0.95,MLP,MLP,7200,0.0,0.635
1,64,4,1000000,200,100,0.95,MLP,MLP,7400,0.0,0.185
1,64,4,1000000,200,100,0.95,MLP,MLP,7600,0.0,0.915
1,64,4,1000000,200,100,0.95,MLP,MLP,7800,0.0,0.885
1,64,4,1000000,200,100,0.95,MLP,MLP,8000,0.0,0.0
1,64,4,1000000,200,100,0.95,MLP,MLP,8200,0.0,0.835
1,64,4,1000000,200,100,0.95,MLP,MLP,8400,0.0,0.02
1,64,4,1000000,200,100,0.95,MLP,MLP,8600,0.0,0.18
1,64,4,1000000,200,100,0.95,MLP,MLP,8800,0.0,0.075
1,64,4,1000000,200,100,0.95,MLP,MLP,9000,0.0,0.12
1,64,4,1000000,200,100,0.95,MLP,MLP,9200,0.005,0.65
1,64,4,1000000,200,100,0.95,MLP,MLP,9400,0.0,0.01
1,64,4,1000000,200,100,0.95,MLP,MLP,9600,0.01,0.665
1,64,4,1000000,200,100,0.95,MLP,MLP,9800,0.0,0.105
1,64,4,1000000,200,100,0.95,MLP,MLP,10000,0.01,0.25
1,64,4,1000000,200,100,0.95,MLP,MLP,10200,0.005,0.345
1,64,4,1000000,200,100,0.95,MLP,MLP,10400,0.0,0.855
1,64,4,1000000,200,100,0.95,MLP,MLP,10600,0.0,0.865
1,64,4,1000000,200,100,0.95,MLP,MLP,10800,0.0,0.09
1,64,4,1000000,200,100,0.95,MLP,MLP,11000,0.0,0.095
1,64,4,1000000,200,100,0.95,MLP,MLP,11200,0.0,0.135
1,64,4,1000000,200,100,0.95,MLP,MLP,11400,0.0,0.465
1,64,4,1000000,200,100,0.95,MLP,MLP,11600,0.0,0.525
1,64,4,1000000,200,100,0.95,MLP,MLP,11800,0.0,0.015
1,64,4,1000000,200,100,0.95,MLP,MLP,12000,0.0,0.22
1,64,4,1000000,200,100,0.95,MLP,MLP,12200,0.0,0.975
2,64,4,1000000,200,100,0.95,MLP,MLP,400,0.0,0.13
2,64,4,1000000,200,100,0.95,MLP,MLP,600,0.0,0.345
2,64,4,1000000,200,100,0.95,MLP,MLP,800,0.0,0.96
3,64,4,1000000,200,100,0.95,MLP,MLP,400,0.0,0.29
3,64,4,1000000,200,100,0.95,MLP,MLP,600,0.0,0.045
3,64,4,1000000,200,100,0.95,MLP,MLP,800,0.0,0.115
3,64,4,1000000,200,100,0.95,MLP,MLP,1000,0.0,0.525
3,64,4,1000000,200,100,0.95,MLP,MLP,1200,0.0,0.39
