seed,n_bits,k,train_data,auth_CRPs,searches,threshold,server_predictor,attacker_predictor,viable_CRPs,server_accuracy,attacker_accuracy
0,64,2,1000000,200,100,0.95,LR,MLP,13800,0.0,0.665
0,64,2,1000000,200,100,0.95,LR,MLP,14000,0.0,0.75
0,64,2,1000000,200,100,0.95,LR,MLP,14200,0.02,0.49
0,64,2,1000000,200,100,0.95,LR,MLP,14400,0.01,0.785
0,64,2,1000000,200,100,0.95,LR,MLP,14600,0.07,0.635
0,64,2,1000000,200,100,0.95,LR,MLP,14800,0.025,0.45
0,64,2,1000000,200,100,0.95,LR,MLP,15000,0.085,0.52
0,64,2,1000000,200,100,0.95,LR,MLP,15200,0.055,0.57
0,64,2,1000000,200,100,0.95,LR,MLP,15400,0.045,0.555
0,64,2,1000000,200,100,0.95,LR,MLP,15600,0.075,0.35
0,64,2,1000000,200,100,0.95,LR,MLP,15800,0.28,0.68
0,64,2,1000000,200,100,0.95,LR,MLP,16000,0.05,0.615
0,64,2,1000000,200,100,0.95,LR,MLP,16200,0.04,0.255
0,64,2,1000000,200,100,0.95,LR,MLP,16400,0.35,0.595
0,64,2,1000000,200,100,0.95,LR,MLP,16600,0.055,0.295
0,64,2,1000000,200,100,0.95,LR,MLP,16800,0.095,0.475
0,64,2,1000000,200,100,0.95,LR,MLP,17000,0.39,0.505
0,64,2,1000000,200,100,0.95,LR,MLP,17200,0.5,0.69
0,64,2,1000000,200,100,0.95,LR,MLP,17400,0.075,0.565
0,64,2,1000000,200,100,0.95,LR,MLP,17600,0.195,0.58
0,64,2,1000000,200,100,0.95,LR,MLP,17800,0.235,0.34
0,64,2,1000000,200,100,0.95,LR,MLP,18000,0.17,0.435
0,64,2,1000000,200,100,0.95,LR,MLP,18200,0.38,0.805
0,64,2,1000000,200,100,0.95,LR,MLP,18400,0.095,0.56
0,64,2,1000000,200,100,0.95,LR,MLP,18600,0.105,0.29
0,64,2,1000000,200,100,0.95,LR,MLP,18800,0.16,0.44
0,64,2,1000000,200,100,0.95,LR,MLP,19000,0.09,0.59
0,64,2,1000000,200,100,0.95,LR,MLP,19200,0.1,0.725
0,64,2,1000000,200,100,0.95,LR,MLP,19400,0.08,0.45
0,64,2,1000000,200,100,0.95,LR,MLP,19600,0.18,0.81
0,64,2,1000000,200,100,0.95,LR,MLP,19800,0.17,0.755
0,64,2,1000000,200,100,0.95,LR,MLP,20000,0.215,0.895
0,64,2,1000000,200,100,0.95,LR,MLP,20200,0.25,0.34
0,64,2,1000000,200,100,0.95,LR,MLP,20400,0.12,0.335
0,64,2,1000000,200,100,0.95,LR,MLP,20600,0.03,0.43
0,64,2,1000000,200,100,0.95,LR,MLP,20800,0.0,0.38
0,64,2,1000000,200,100,0.95,LR,MLP,21000,0.085,0.425
0,64,2,1000000,200,100,0.95,LR,MLP,21200,0.03,0.465
0,64,2,1000000,200,100,0.95,LR,MLP,21400,0.0,0.345
0,64,2,1000000,200,100,0.95,LR,MLP,21600,0.0,0.5
0,64,2,1000000,200,100,0.95,LR,MLP,21800,0.01,0.37
0,64,2,1000000,200,100,0.95,LR,MLP,22000,0.01,0.36
0,64,2,1000000,200,100,0.95,LR,MLP,22200,0.025,0.515
