seed,n_bits,k,train_data,auth_CRPs,searches,threshold,server_predictor,attacker_predictor,viable_CRPs,server_accuracy,attacker_accuracy
2,64,4,1000000,200,100,0.95,MLP,LR,800,0.0,0.7
2,64,4,1000000,200,100,0.95,MLP,LR,1000,0.0,0.605
2,64,4,1000000,200,100,0.95,MLP,LR,1200,0.0,0.885
2,64,4,1000000,200,100,0.95,MLP,LR,1400,0.0,0.74
2,64,4,1000000,200,100,0.95,MLP,LR,1600,0.0,0.63
2,64,4,1000000,200,100,0.95,MLP,LR,1800,0.0,0.675
2,64,4,1000000,200,100,0.95,MLP,LR,2000,0.0,0.77
2,64,4,1000000,200,100,0.95,MLP,LR,2200,0.0,0.945
2,64,4,1000000,200,100,0.95,MLP,LR,2400,0.0,0.99
3,64,4,1000000,200,100,0.95,MLP,LR,400,0.0,0.5
3,64,4,1000000,200,100,0.95,MLP,LR,600,0.0,0.63
3,64,4,1000000,200,100,0.95,MLP,LR,800,0.0,0.23
3,64,4,1000000,200,100,0.95,MLP,LR,1000,0.0,0.56
3,64,4,1000000,200,100,0.95,MLP,LR,1200,0.0,0.55
3,64,4,1000000,200,100,0.95,MLP,LR,1400,0.0,0.79
3,64,4,1000000,200,100,0.95,MLP,LR,1600,0.0,0.745
3,64,4,1000000,200,100,0.95,MLP,LR,1800,0.0,0.89
3,64,4,1000000,200,100,0.95,MLP,LR,2000,0.0,0.51
3,64,4,1000000,200,100,0.95,MLP,LR,2200,0.0,0.78
3,64,4,1000000,200,100,0.95,MLP,LR,2400,0.0,0.835
3,64,4,1000000,200,100,0.95,MLP,LR,2600,0.0,0.775
3,64,4,1000000,200,100,0.95,MLP,LR,2800,0.0,0.71
3,64,4,1000000,200,100,0.95,MLP,LR,3000,0.0,0.8
3,64,4,1000000,200,100,0.95,MLP,LR,3200,0.0,0.895
3,64,4,1000000,200,100,0.95,MLP,LR,3400,0.0,0.895
3,64,4,1000000,200,100,0.95,MLP,LR,3600,0.0,0.695
3,64,4,1000000,200,100,0.95,MLP,LR,3800,0.0,0.83
3,64,4,1000000,200,100,0.95,MLP,LR,4000,0.0,0.95
4,64,4,1000000,200,100,0.95,MLP,LR,400,0.0,0.335
4,64,4,1000000,200,100,0.95,MLP,LR,600,0.0,0.7
4,64,4,1000000,200,100,0.95,MLP,LR,800,0.0,0.37
4,64,4,1000000,200,100,0.95,MLP,LR,1000,0.0,0.795
4,64,4,1000000,200,100,0.95,MLP,LR,1200,0.0,0.59
4,64,4,1000000,200,100,0.95,MLP,LR,1400,0.0,0.88
4,64,4,1000000,200,100,0.95,MLP,LR,1600,0.0,0.87
4,64,4,1000000,200,100,0.95,MLP,LR,1800,0.0,0.585
4,64,4,1000000,200,100,0.95,MLP,LR,2000,0.0,0.0
4,64,4,1000000,200,100,0.95,MLP,LR,2200,0.0,0.51
4,64,4,1000000,200,100,0.95,MLP,LR,2400,0.0,0.94
4,64,4,1000000,200,100,0.95,MLP,LR,2600,0.0,0.76
4,64,4,1000000,200,100,0.95,MLP,LR,2800,0.0,0.82
4,64,4,1000000,200,100,0.95,MLP,LR,3000,0.0,0.705
4,64,4,1000000,200,100,0.95,MLP,LR,3200,0.0,0.9
4,64,4,1000000,200,100,0.95,MLP,LR,3400,0.0,0.81
4,64,4,1000000,200,100,0.95,MLP,LR,3600,0.0,0.875
4,64,4,1000000,200,100,0.95,MLP,LR,3800,0.0,0.955
5,64,4,1000000,200,100,0.95,MLP,LR,400,0.0,0.605
5,64,4,1000000,200,100,0.95,MLP,LR,600,0.0,0.98
6,64,4,1000000,200,100,0.95,MLP,LR,400,0.0,0.065
6,64,4,1000000,200,100,0.95,MLP,LR,600,0.0,0.155
6,64,4,1000000,200,100,0.95,MLP,LR,800,0.0,0.155
6,64,4,1000000,200,100,0.95,MLP,LR,1000,0.0,0.31
6,64,4,1000000,200,100,0.95,MLP,LR,1200,0.0,0.53
6,64,4,1000000,200,100,0.95,MLP,LR,1400,0.0,0.51
6,64,4,1000000,200,100,0.95,MLP,LR,1600,0.0,0.55
6,64,4,1000000,200,100,0.95,MLP,LR,1800,0.0,0.525
6,64,4,1000000,200,100,0.95,MLP,LR,2000,0.0,0.565
